index,genres,keywords,tagline,title,cast,director
134,Action Adventure Thriller,london england spy austria villain sequel,Desperate Times. Desperate Measures.,Mission: Impossible - Rogue Nation,Tom Cruise Rebecca Ferguson Simon Pegg Jeremy Renner Ving Rhames,Christopher McQuarrie
135,Drama Horror Thriller,father son relationship victorian england remake rural setting werewolf,When the moon is full the legend comes to life,The Wolfman,Benicio del Toro Anthony Hopkins Emily Blunt Hugo Weaving Cristina Contes,Joe Johnston
136,Family Animation Adventure Comedy,factory worker tennis flower florist flower shop,Born to bee wild.,Bee Movie,Jerry Seinfeld Ren\u00e9e Zellweger Jim Cummings Matthew Broderick Patrick Warburton,Steve Hickner
137,Animation Family,martial arts hope fleet panda mission,Prepare for the Year of Awesomeness!,Kung Fu Panda 2,Jack Black Angelina Jolie Dustin Hoffman Gary Oldman Jackie Chan,Jennifer Yuh Nelson
138,Action Adventure Family Fantasy,fire ice war ship prince kingdom,"Four nations, one destiny",The Last Airbender,Noah Ringer Nicola Peltz Jackson Rathbone Dev Patel Shaun Toub,M. Night Shyamalan
139,Adventure Action Thriller,berlin cia vatican white house secret identity,The Mission Begins 05:05:06.,Mission: Impossible III,Tom Cruise Philip Seymour Hoffman Ving Rhames Billy Crudup Jonathan Rhys Meyers,J.J. Abrams
140,Action Drama Thriller,usa president conspiracy secret service the white house,It will start like any other day.,White House Down,Channing Tatum Jamie Foxx Joey King Maggie Gyllenhaal Richard Jenkins,Roland Emmerich
141,Adventure Animation Family,boy alien rescue martian alien abduction,Mom needs a little space.,Mars Needs Moms,Seth Green Joan Cusack Dan Fogler Breckin Meyer Elisabeth Harnois,Simon Wells
142,Adventure Animation Comedy Family,london england underworld return ship frog,Someone's Going Down,Flushed Away,Hugh Jackman Kate Winslet Ian McKellen Jean Reno Bill Nighy,David Bowers
143,Adventure Family Fantasy,flying magic fairy tale peter pan mermaid,Every legend has a beginning.,Pan,Levi Miller Garrett Hedlund Hugh Jackman Rooney Mara Amanda Seyfried,Joe Wright
144,Animation Adventure Family,father son relationship egypt intelligence adoption time travel,He's Leaving His Mark On History,Mr. Peabody & Sherman,Ty Burrell Max Charles Ariel Winter Allison Janney Ellie Kemper,Rob Minkoff
145,Adventure Drama War,brother brother relationship adultery mythology beauty trojan war,For passion. For honor. For destiny. For victory. For love.,Troy,Brad Pitt Orlando Bloom Eric Bana Brian Cox Sean Bean,Wolfgang Petersen
146,Animation Family,madagascar 3d,"Six years ago, they disappeared without a trace. Next summer, they finally resurface.",Madagascar 3: Europe's Most Wanted,Ben Stiller Sacha Baron Cohen David Schwimmer Frances McDormand Chris Rock,Conrad Vernon
147,Adventure Action Thriller,laser british secret service secret service agent space based weapon,He’s never been cooler.,Die Another Day,Pierce Brosnan Halle Berry Rosamund Pike Rick Yune Toby Stephens,Lee Tamahori
148,Action Fantasy Comedy,female friendship ghost hunting reboot ghost,Who You Gonna Call?,Ghostbusters,Melissa McCarthy Kristen Wiig Kate McKinnon Leslie Jones Chris Hemsworth,Paul Feig
149,Action Thriller Science Fiction Adventure,saving the world paris moon cataclysm asteroid,The Earth's Darkest Day Will Be Man's Finest Hour,Armageddon,Bruce Willis Billy Bob Thornton Ben Affleck Liv Tyler Will Patton,Michael Bay
150,Action Adventure Comedy Science Fiction,saving the world secret identity sun glasses undercover space marine,Same Planet. New Scum.,Men in Black II,Tommy Lee Jones Will Smith Rip Torn Lara Flynn Boyle Johnny Knoxville,Barry Sonnenfeld
151,Adventure Action Animation,denmark nordic mythology lie pride and vanity folk hero,Evil breeds pain.,Beowulf,Ray Winstone Angelina Jolie Anthony Hopkins Robin Wright John Malkovich,Robert Zemeckis
152,Action Adventure Animation Comedy Family,china martial arts kung fu village panda,Grab destiny by the rice dumplings.,Kung Fu Panda 3,Jack Black Bryan Cranston Dustin Hoffman Angelina Jolie J.K. Simmons,Jennifer Yuh Nelson
153,Action Thriller Adventure,fight sequel mission explosion broken arm,No Plan. No Backup. No Choice.,Mission: Impossible - Ghost Protocol,Tom Cruise Jeremy Renner Simon Pegg Paula Patton Anil Kapoor,Brad Bird
154,Fantasy Animation Family,dream santa claus nightmare easter bunny tooth fairy,You better believe.,Rise of the Guardians,Chris Pine Alec Baldwin Jude Law Isla Fisher Hugh Jackman,Peter Ramsey
155,Comedy,based on novel desperation robber hold-up robbery remake,Giving big businesses a run for their money!,Fun with Dick and Jane,Jim Carrey T\u00e9a Leoni Alec Baldwin Richard Jenkins Angie Harmon,Dean Parisot
156,Drama Action War History,japan war crimes sense of guilt swordplay general,"In the face of an enemy, in the heart of one man, lies the soul of a warrior.",The Last Samurai,Tom Cruise Ken Watanabe William Atherton Chad Lindberg Billy Connolly,Edward Zwick
157,Adventure Drama Action,moses bible ancient egypt 3d ramses,"Once brothers, now enemies.",Exodus: Gods and Kings,Christian Bale Joel Edgerton John Turturro Aaron Paul Ben Mendelsohn,Ridley Scott
158,Science Fiction Action Adventure,spacecraft teleportation space mission parachute time travel,The future begins.,Star Trek,Chris Pine Zachary Quinto Leonard Nimoy Eric Bana Bruce Greenwood,J.J. Abrams
159,Fantasy Action,loss of lover spider thanksgiving bad boss hostility,With great power comes great responsibility.,Spider-Man,Tobey Maguire Willem Dafoe Kirsten Dunst James Franco Cliff Robertson,Sam Raimi
160,Fantasy Action Adventure Animation Comedy,father son relationship wife husband relationship sacrifice viking sequel,The training is over.,How to Train Your Dragon 2,Jay Baruchel Gerard Butler Kristen Wiig Jonah Hill Cate Blanchett,Dean DeBlois
161,Fantasy,egypt underworld fight mythology nile,The battle for eternity begins,Gods of Egypt,Brenton Thwaites Nikolaj Coster-Waldau Gerard Butler Courtney Eaton Elodie Yung,Alex Proyas
162,Action,artificial intelligence u.s. navy aftercreditsstinger,Fear The Sky,Stealth,Josh Lucas Jessica Biel Jamie Foxx Sam Shepard Richard Roxburgh,Rob Cohen
163,Action Mystery Science Fiction,dc comics secret identity mass murder retirement based on comic book,Justice is coming to all of us.  No matter what we do.,Watchmen,Malin \u00c5kerman Billy Crudup Carla Gugino Jeffrey Dean Morgan Patrick Wilson,Zack Snyder
164,Action Adventure Comedy Crime Thriller,lapd house on fire revolver,The faces you love. The action you expect.,Lethal Weapon 4,Mel Gibson Danny Glover Joe Pesci Rene Russo Jet Li,Richard Donner
165,Drama Action Science Fiction,california san francisco monster general gun,Unleash the hero within,Hulk,Eric Bana Jennifer Connelly Sam Elliott Josh Lucas Nick Nolte,Ang Lee
166,Adventure Action Science Fiction Thriller,terror assassin secret technology missile,,G.I. Joe: Retaliation,Dwayne Johnson D.J. Cotrona Adrianne Palicki Bruce Willis Ray Park,Jon M. Chu
167,Action Adventure Comedy Drama Mystery,tyrant ironclad ship,Dirk Pitt. Adventure has a new name.,Sahara,Matthew McConaughey Pen\u00e9lope Cruz Steve Zahn William H. Macy Lennie James,Breck Eisner
168,Adventure Action Animation Fantasy Science Fiction,battle assignment dystopia alien downfall scientist,Unleash a new reality,Final Fantasy: The Spirits Within,Donald Sutherland Ming-Na Wen Alec Baldwin Ving Rhames Steve Buscemi,Hironobu Sakaguchi
169,Action Adventure Science Fiction,new york usa world war ii nazis marvel comic,When patriots become heroes,Captain America: The First Avenger,Chris Evans Hugo Weaving Tommy Lee Jones Hayley Atwell Sebastian Stan,Joe Johnston
170,Adventure Action Thriller,british mission oil heiress bilbao spain,As the countdown begins for the new millennium there is still one number you can always count on.,The World Is Not Enough,Pierce Brosnan Sophie Marceau Robert Carlyle Denise Richards Robbie Coltrane,Michael Apted
171,Adventure,naturalist frigate self surgery sea battle weevil,The courage to do the impossible lies in the hearts of men.,Master and Commander: The Far Side of the World,Russell Crowe Paul Bettany James D'Arcy Billy Boyd Joseph Morgan,Peter Weir
172,Adventure Fantasy Drama Romance,vampire romance villainess super strength imprinting,The epic finale that will live forever,The Twilight Saga: Breaking Dawn - Part 2,Kristen Stewart Robert Pattinson Taylor Lautner Peter Facinelli Elizabeth Reaser,Bill Condon
173,Animation Comedy Family,penguin musical aftercreditsstinger 3d,Every step counts.,Happy Feet Two,Elijah Wood Robin Williams Pink E.G. Daily Johnny A. Sanchez,George Miller
174,Science Fiction Action Adventure,new york rio de janeiro marvel comic superhero based on comic book,You'll like him when he's angry.,The Incredible Hulk,Edward Norton Liv Tyler Tim Roth William Hurt Tim Blake Nelson,Louis Leterrier
175,Adventure Family Fantasy,london england england based on novel queen little girl,The world is more giant than you can imagine.,The BFG,Ruby Barnhill Mark Rylance Rebecca Hall Jemaine Clement Bill Hader,Steven Spielberg
176,Western Drama Adventure Thriller,father son relationship rape based on novel mountains winter,"(n. One who has returned, as if from the dead.)",The Revenant,Leonardo DiCaprio Tom Hardy Will Poulter Domhnall Gleeson Paul Anderson,Alejandro Gonz\u00e1lez I\u00f1\u00e1rritu
177,Animation Family,underdog car race dream speed power,SLO NO MO,Turbo,Ryan Reynolds Paul Giamatti Michael Pe\u00f1a Samuel L. Jackson Luis Guzm\u00e1n,David Soren
178,Animation Comedy Family Western Adventure,sheriff nevada pet rango chameleon,Heroes come in all different colors.,Rango,Johnny Depp Isla Fisher Ned Beatty Bill Nighy Alfred Molina,Gore Verbinski
179,Family Animation Adventure Comedy,penguin madagascar 3d,The Movie Event That Will Blow Their Cover,Penguins of Madagascar,Tom McGrath Chris Miller Christopher Knights Conrad Vernon John Malkovich,Eric Darnell
180,Action Drama Mystery Thriller,paris corruption madrid assassin based on novel,Remember everything. Forgive nothing.,The Bourne Ultimatum,Matt Damon Julia Stiles David Strathairn Scott Glenn Paddy Considine,Paul Greengrass
181,Adventure Animation Family Comedy,china martial arts kung fu mentor snake,Prepare for awesomeness.,Kung Fu Panda,Jack Black Dustin Hoffman Angelina Jolie Jackie Chan Lucy Liu,Mark Osborne
182,Science Fiction Action Adventure,marvel comic superhero based on comic book aftercreditsstinger duringcreditsstinger,Heroes don't get any bigger.,Ant-Man,Paul Rudd Michael Douglas Evangeline Lilly Corey Stoll Bobby Cannavale,Peyton Reed
183,Adventure Action Science Fiction,competition based on novel mentor secret factory,Every revolution begins with a spark.,The Hunger Games: Catching Fire,Jennifer Lawrence Josh Hutcherson Liam Hemsworth Woody Harrelson Elizabeth Banks,Francis Lawrence
184,Fantasy Comedy Animation Science Fiction Family,friendship spaceship space alien alien invasion,Worlds Collide,Home,Jim Parsons Rihanna Steve Martin Jennifer Lopez Matt Jones,Tim Johnson
185,Adventure Thriller Science Fiction,post traumatic stress  disorder new jersey airplane dystopia daughter,They're already here.,War of the Worlds,Tom Cruise Dakota Fanning Miranda Otto Justin Chatwin Tim Robbins,Steven Spielberg
186,Adventure Action Comedy Thriller Crime,miami ku klux klan cuba undercover mexican standoff,"If you can't stand the heat, get out of Miami.",Bad Boys II,Martin Lawrence Will Smith Jordi Moll\u00e0 Gabrielle Union Peter Stormare,Michael Bay
187,Action Adventure Animation Family Fantasy,adventure fairy-tale figure,Live for danger. Fight for justice. Pray for mercy.,Puss in Boots,Antonio Banderas Salma Hayek Zach Galifianakis Billy Bob Thornton Amy Sedaris,Chris Miller
188,Action Mystery Thriller,assassination spy cia kidnapping cold war,Who is Salt?,Salt,Angelina Jolie Liev Schreiber Chiwetel Ejiofor Daniel Olbrychski August Diehl,Phillip Noyce
189,Drama Adventure,bible god noah 3d,The end of the world is just the beginning.,Noah,Russell Crowe Jennifer Connelly Emma Watson Logan Lerman Anthony Hopkins,Darren Aronofsky
190,Adventure Animation Mystery,riddle captain treasure liquor treasure hunt,"This year, discover how far adventure will take you.",The Adventures of Tintin,Jamie Bell Andy Serkis Daniel Craig Nick Frost Simon Pegg,Steven Spielberg
191,Adventure Fantasy Family,flying traitor magic cutting the cord child hero,Something wicked this way comes.,Harry Potter and the Prisoner of Azkaban,Daniel Radcliffe Rupert Grint Emma Watson Gary Oldman David Thewlis,Alfonso Cuar\u00f3n
192,Drama,missionary world war ii ranch australia british,Welcome to Australia!,Australia,Nicole Kidman Hugh Jackman Essie Davis David Wenham Bryan Brown,Baz Luhrmann
193,Science Fiction Action Adventure,dystopia,"Danger is real, fear is a choice",After Earth,Jaden Smith Will Smith Sophie Okonedo Zo\u00eb Kravitz Glenn Morshower,M. Night Shyamalan
194,Animation Family,cataclysm asteroid leader comet animation,You have never seen anything like this.,Dinosaur,D. B. Sweeney Alfre Woodard Ossie Davis Max Casella Hayden Panettiere,Ralph Zondag
195,Adventure Comedy Fantasy Family,night watchman museum natural history history smithsonian,One Final Night to Save the Day.,Night at the Museum: Secret of the Tomb,Ben Stiller Rami Malek Rebel Wilson Robin Williams Owen Wilson,Shawn Levy
196,Animation Action Comedy Family Science Fiction,saving the world date prison secret identity fish,His brain is off the chain.,Megamind,Will Ferrell Brad Pitt Tina Fey Jonah Hill David Cross,Tom McGrath
197,Adventure Fantasy Family,witch christmas party magic cutting the cord halloween,Let the Magic Begin.,Harry Potter and the Philosopher's Stone,Daniel Radcliffe Rupert Grint Emma Watson Richard Harris Tom Felton,Chris Columbus
198,Fantasy Action Comedy Crime,gold police operation partner revenge undead,To protect and serve the living,R.I.P.D.,Jeff Bridges Ryan Reynolds Kevin Bacon Stephanie Szostak Mary-Louise Parker,Robert Schwentke
199,Adventure Fantasy Action,exotic island blacksmith east india trading company gold marriage proposal,Prepare to be blown out of the water.,Pirates of the Caribbean: The Curse of the Black Pearl,Johnny Depp Geoffrey Rush Orlando Bloom Keira Knightley Jack Davenport,Gore Verbinski
200,Science Fiction Adventure Thriller,resistance post-apocalyptic dystopia war sequel,Fire burns brighter in the darkness,The Hunger Games: Mockingjay - Part 1,Jennifer Lawrence Josh Hutcherson Liam Hemsworth Woody Harrelson Donald Sutherland,Francis Lawrence
201,Thriller Mystery,paris holy grail christianity monk based on novel,Seek the truth.,The Da Vinci Code,Tom Hanks Audrey Tautou Ian McKellen Paul Bettany Jean Reno,Ron Howard
202,Animation Adventure Comedy Family,bird sequel jungle audition amazon rainforest,"He's villainous, she's venomous.",Rio 2,Jesse Eisenberg Anne Hathaway Leslie Mann Jamie Foxx Andy Garc\u00eda,Carlos Saldanha
203,Adventure Action Science Fiction Thriller,mutant marvel comic superhero based on comic book superhuman,The time has come for those who are different to stand united.,X2,Patrick Stewart Hugh Jackman Ian McKellen Halle Berry Famke Janssen,Bryan Singer
204,Action Thriller Crime,brazil fbi freedom escape from prison car crash,Get the Fifth Gear.,Fast Five,Vin Diesel Paul Walker Jordana Brewster Tyrese Gibson Ludacris,Justin Lin
205,Adventure Action Crime Mystery,detective inspector steampunk criminal mastermind,The game is afoot.,Sherlock Holmes: A Game of Shadows,Robert Downey Jr. Jude Law Jared Harris Noomi Rapace Kelly Reilly,Guy Ritchie
